HANDSET_NAME,HANDSET_BRAND
Asus ASUS_Z00TD,Asus
Asus ASUS_Z00UD,Asus
Asus Fonepad 7,Asus
Asus Fonepad 7 Dual SIM,Asus
Asus Fonepad 7 Dual SIM FE375CG,Asus
Asus Fonepad 7 FE7010CG,Asus
Asus Fonepad 7 LTE ME372CL K00Y,Asus
Asus Fonepad 8,Asus
Asus K00E,Asus
Asus K00Z,Asus
Asus K012,Asus
Asus ME371MG,Asus
Asus ME571KL,Asus
Asus P001,Asus
Asus P024,Asus
Asus PadFone S,Asus
Asus ZC451CG Z007 ZenFone 4.5,Asus
Asus ZE551ML,Asus
Asus ZenFone 2,Asus
Asus Zenfone 2 Laser,Asus
Asus Zenfone Go,Asus
Asus Zenfone Selfie,Asus
Bandrich  M305 LC,Bandrich
BandRich C120,BandRich
"BDL Gulf FZCO Q-Wave61S, Q-Wave61C, Q-Wave71MS, Q-Wave71MBG, Q-Wave71MC",BDL
Beijing Shenqi Technology Z1221,Beijing
"Beijing Tianyu Communication Equipment K-Touch Kis 5w,K-Touch Kis 7w",Beijing
BenQ A38,BenQ
BenQ M63,BenQ
"Berry for Import, Export &mmercial Agencies B01,B02,B03,B04,B05",Berry
"Berry for Import, Export &mmercial Agencies P01,P02,P03,P04,P05",Berry
"Berry for Import, Export &mmercial Agencies P11,P12,P13,P14,B06",Berry
"Berry for Import, Export &mmercial Agencies P15,P16,P17,P18,P19",Berry
"Berry for Import, Export &mmercial Agencies S1,S2,S3,S4,S5",Berry
"Beryl-Tech Import and Export K225,K230,K800,K900,K6700",Beryl
"Beryl-Tech Import and Export T1, T2, T3, T4, K35",Beryl
"Beryl-Tech Import and Export T950,T9595,T9000,T500,T3812",Beryl
"Beryl-Tech Import and Export X-music I,X-music II,X-music III, IRON I,IRON VII",Beryl
"Beryl-Tech Import and Export X200,K200,K206,K215,K220",Beryl
BlackBerry 8220,BlackBerry
BlackBerry 8300,BlackBerry
BlackBerry 8700g,BlackBerry
BlackBerry 8707g,BlackBerry
BlackBerry 8900,BlackBerry
BlackBerry 9780,BlackBerry
BlackBerry Bold 9700,BlackBerry
BlackBerry Bold 9720,BlackBerry
BlackBerry Bold 9790,BlackBerry
BlackBerry Bold Touch 9900,BlackBerry
BlackBerry Curve 8320,BlackBerry
BlackBerry Curve 8520,BlackBerry
BlackBerry Curve 9220,BlackBerry
BlackBerry Curve 9300,BlackBerry
BlackBerry Curve 9320,BlackBerry
BlackBerry Curve 9360,BlackBerry
BlackBerry Curve 9380,BlackBerry
BlackBerry KOPI,BlackBerry
BlackBerry Passport,BlackBerry
BlackBerry Pearl 3G 9105,BlackBerry
BlackBerry Porsche Design P9981,BlackBerry
BlackBerry Porsche Design P9983 (SQK100-1),BlackBerry
BlackBerry Priv,BlackBerry
BlackBerry Q10,BlackBerry
BlackBerry Q5,BlackBerry
BlackBerry Storm2 9520,BlackBerry
BlackBerry TEST IMEI,BlackBerry
BlackBerry Torch 9800,BlackBerry
BlackBerry Torch 9810,BlackBerry
BlackBerry Torch 9860,BlackBerry
BlackBerry Z10,BlackBerry
BlackBerry Z10 LTE,BlackBerry
BlackBerry Z3,BlackBerry
BlackBerry Z30,BlackBerry
Blackbird I300,Blackbird
Blackview JK808,Blackview
Blu Click3,Blu
BLU D272 Dash Music 4.0,BLU
BLU D470 Dash 5.5,BLU
BLU D650 Studio 6.0 HD,BLU
BLU Dash 5.0+,BLU
BLU Studio 5.0 C,BLU
BLU Win HD LTE,BLU
"Bopel International C1,C2,C3,C4,C5",Bopel
"Bopel International C6,C7,C8,C9,C10",Bopel
"Bopel International i002, i003, i004, i005",Bopel
BYD Delta S600,BYD
Casper Bilgisayar Sistemleri Via Tab,Casper
CEC G3200,CEC
CEC i658,CEC
Changhong YAKOYA K10,Changhong
Cinterion BGS2-W,Cinterion
Cinterion MC35i,Cinterion
Cinterion MC52i,Cinterion
Cinterion MC55i,Cinterion
Cinterion MC75i,Cinterion
Cinterion PH8,Cinterion
Cinterion PHS8,Cinterion
Cinterion TC63i,Cinterion
Cinterion TC65,Cinterion
Cinterion TC65i,Cinterion
Cisco CISCO 74-7883,Cisco
Cisco HWIC-3G-GSM,Cisco
Cisco Mc7304,Cisco
CK Telecom M1,CK
CLC Hong Kong Z512,CLC
"Cntone (Hong Kong) Technology C5,C6,C30,C40,C50",Cntone
"Cntone (Hong Kong) Technology H13,F500,C8,C9,C10",Cntone
"Cntone (Hong Kong) Technology N2,N3,N4,N5,C20",Cntone
Compal B15Q,Compal
Compal CAT B15,Compal
Concox Information Technology GT06,Concox
Coolpad 5213,Coolpad
Coolpad Coolpad 7295+,Coolpad
CRT MCR39,CRT
CTia STUDIO C,CTia
CTia STUDIO ENERGY 2,CTia
CTia STUDIO X,CTia
D-Link 3GMobileRouter,D
D-Link DWR-530 Mobile Hotspot,D
D-Link DWR-923,D
D-Link HSUPAUSBAdapter,D
DDM Brands A35EI,DDM
DDM Brands A5EI,DDM
DDM Brands A5TJQ047,DDM
DDM Brands CM21AB003,DDM
Dell BYD F0,Dell
Do Smile,Do
DOOGEE Pixels DG350,DOOGEE
DOOGEE VOYAGER2,DOOGEE
Dowee Mobile Technology DW D302,Dowee
Elitek  ZL9298,Elitek
"Elmhwar for Import and Export M950,M9595,M9000,M500,M3812",Elmhwar
"Elnilempany for Import and Export D6,K2,K8",Elnilempany
"Elnilempany for Import and Export G30,G40,G50,G60,G70",Elnilempany
"Elnilempany for Import and Export L7,L1,D12,D16",Elnilempany
"Elnilempany for Import and Export M39,M42,M65,L2",Elnilempany
"Elnilempany for Import and Export N3,N5,N9,W20,W90",Elnilempany
"Elnilempany for Import and Export Z4,Z11,Z50",Elnilempany
"Elsols i3, i4, i5, i6, i7",Elsols
Emitac Mobile Solutions be b.smart,Emitac
Enfora GSM0114,Enfora
Enfora HealthPAL,Enfora
Ertebat Hamrah GLX H3,Ertebat
Etel V2,Etel
Eurostar Communications ePadGenie-ET7183G-B13,Eurostar
Eurostar Communications ET7183GQ-B15,Eurostar
